adres,phone,email,gtag,gtm,ua,wordpress,facebook,meta-pixel,pixel,instagram,linkedin,edrone,getresponse,salesmanago,shop,woocommerce,idosell,shopify,magento,shoper
https://www.polskiedzieci.pl,,,False,True,False,True,facebook.com/polskiedzieci,True,True,"instagram.com/polskiedziecipl""",,False,False,False,True,False,False,False,False,False
https://www.bajkowewnetrzakids.pl,+48505529843,,False,True,True,True,facebook.com/bajkowewnetrzakids,True,True,instagram.com/bajkowewnetrza,,False,False,False,True,True,False,False,False,False
https://www.noq.com.pl,,,False,True,True,True,facebook.com/tr?id=685284683091600&ev=PageView,True,True,instagram.com/knittex_noq,,False,False,False,False,False,False,False,False,False
https://www.raspberryrepublic.pl,,,False,True,True,True,"facebook.com/tr?id=1682564772009560&ev=PageView&noscript=1&eid=168256477200956016a25ec5-1b13-408b-819d-214d231e24f4&cd%5Bpage_title%5D=Homepage&cd%5Bpost_type%5D=page&cd%5Bpost_id%5D=631&cd%5Bplugin%5D=PixelYourSite&cd%5Bevent_url%5D=www.raspberryrepublic.com%2F&cd%5Buser_role%5D=guest""",True,True,,,False,False,False,True,True,False,False,False,False
https://www.multidental.com.pl,,,False,True,False,True,facebook.com/multidentalmed,True,True,,,False,False,False,False,False,False,False,False,False
https://www.spawear.pl,48535547400,,False,True,False,True,facebook.com/spawearpl,True,False,instagram.com/spawear.pl,,False,False,False,True,True,False,False,False,False
https://www.lumili.pl,,,False,True,True,True,"facebook.com/lumilimed""",True,True,instagram.com/lumili.pl,,False,False,False,True,True,False,False,False,False
https://www.medicstar.pl,+48122514287,biuro@medicstar.pl,False,True,True,True,facebook.com/Medicstar-Odzie-Medyczna-110792477065360,True,True,,,False,False,False,True,True,False,False,False,False
https://www.pielegniarki.info.pl,,,False,True,False,True,facebook.com/PortalPielegniarekiPoloznych,True,False,instagram.com/sklep.pielegniarki.info.pl,,False,False,False,False,False,False,False,False,False
https://www.krystian.com.pl,+ 48486752588 ,info@krystian.com.pl,False,True,False,True,facebook.com/tr?id=914587949106128&ev=PageView&noscript=1,True,True,,,False,False,False,False,False,False,False,False,False
https://www.dojczland.info,,,False,True,False,True,"facebook.com/Dojczland.info""><meta",True,False,instagram.com/dojczland_info_official,,False,False,False,False,False,False,False,False,False
https://www.histmag.org,,,False,True,False,True,"facebook.com/histmag.org?utm_source=Histmag.org""",True,False,instagram.com/histmagorg,,False,False,False,False,False,False,False,False,False
https://www.beskidzka24.pl,,,False,True,True,True,facebook.com/Beskidzka24pl,True,False,,,False,False,False,False,False,False,False,False,False
https://www.meblejanas.eu,+48509102102,,False,True,False,True,facebook.com/tr?id=1400139943792210&ev=PageView,True,False,instagram.com/meble_janas,,False,False,False,False,False,False,False,False,False
https://www.mebleares.pl,,,False,True,True,True,facebook.com/mebleares,True,False,instagram.com/mebleares,,False,True,False,True,True,False,False,False,False
https://www.minko.co,,info@minko.co,False,True,True,True,facebook.com/tr,True,True,instagram.com/p,,False,False,False,True,True,False,False,False,False
