adres,phone,email,gtag,gtm,ua,wordpress,facebook,meta-pixel,pixel,instagram,linkedin,edrone,getresponse,salesmanago,shop,woocommerce,idosell,shopify,magento,shoper
https://www.hm.com,,,False,False,False,False,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.rossmann.pl,,,False,True,False,False,facebook.com/RossmannPL,True,False,instagram.com/rossmannpl,,False,False,False,True,False,False,False,False,False
https://www.polskiedzieci.pl,,,False,True,False,True,facebook.com/polskiedzieci,True,True,"instagram.com/polskiedziecipl""",,False,False,False,True,False,False,False,False,False
https://www.pepsport.pl,531 067 058,sklep@pepsport.pl,False,False,False,False,facebook.com/trenerpietrzak,True,False,,,False,False,False,True,False,False,False,False,False
https://www.newyorkstyle.pl,,,False,True,True,False,facebook.com/tr?id=336650737689831&ev=PageView,True,True,,,False,False,False,True,False,False,False,False,True
https://www.calzedonia.com,,,False,True,False,False,"facebook.com/calzedonia""",True,False,instagram.com/calzedonia,,False,False,False,True,False,False,False,False,False
https://www.mybasic.pl,+48534312312,sklep@mybasic.pl,False,True,True,False,"facebook.com/tr?id=704643316380297&ev=PageView&noscript=1""",True,True,instagram.com/mybasic.pl,,False,False,False,True,False,False,False,False,False
https://www.kadaro.pl,48507752330,kasia@kadaro.pl,False,True,True,False,facebook.com/pracownia.kadaro,True,False,instagram.com/kadaro.pl,,False,False,False,True,False,False,False,False,True
https://www.okaidi.pl,,,False,False,False,False,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.vans.pl,,,False,True,True,False,"facebook.com/VansEurope""><img",True,False,instagram.com/vans_europe,,False,False,False,True,False,False,False,False,False
https://www.doctornap.com,+48507055197,sklep@doctornap.com,False,True,False,False,"facebook.com/tr?id=439952846419341&ev=PageView&noscript=1""",True,False,"instagram.com/doctornap""",,False,False,False,True,False,False,False,False,False
https://www.bata.pl,,,False,True,False,False,facebook.com/BataPoland,True,False,instagram.com/batashoes,,False,False,False,True,False,False,False,False,False
https://www.nadwyraz.com,+48 534-167-829,kontakt@nadwyraz.com,False,True,True,False,facebook.com/tr?id=468361999934042&ev=PageView&noscript=1',True,True,"instagram.com/nadwyrazcom""",,True,False,False,True,False,False,False,False,True
https://www.e-babystuff.pl,501685746,sklep@babystuff.pl,False,True,True,False,facebook.com/tr?id=2591654997746929&amp;ev=PageView&amp;noscript=1',True,True,,,True,False,False,True,False,True,False,False,False
https://www.reserved.com,,,False,True,False,False,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.seca.com,,,False,True,False,False,"facebook.com/secaglobal""",True,False,,,False,False,False,False,False,False,False,False,False
https://www.dobreliski.pl,+48694596187,,False,True,True,False,"facebook.com/noskieskimoski""",True,True,instagram.com/dobreliski,,False,False,False,True,False,False,False,False,True
https://www.bolo.pl,,kontakt@bolo.pl,False,False,False,True,"facebook.com/tr?id=1016353802139353&ev=PageView&noscript=1""",True,True,instagram.com/bolo_pl,,False,False,False,True,True,False,False,False,False
https://www.mileobaby.pl,+48572703339,biuro@mileobaby.pl,False,True,True,False,"facebook.com/tr?id=2269281220045230&ev=PageView&noscript=1""",True,True,"instagram.com/mileobaby""",,False,False,False,True,False,False,False,False,True
https://www.morele.net,,,False,True,False,False,facebook.com/morele.net,True,True,instagram.com/morele_net,,False,False,False,True,False,False,False,False,False
https://www.bombelkovo.pl,,,False,False,False,False,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.myszojelen-sklep.pl,,,False,True,True,False,facebook.com/tr?id=2337910136312653&ev=PageView&noscript=1',True,True,,,False,False,False,True,False,False,False,False,True
https://www.ciuchciuch.com,,,False,False,True,True,facebook.com/sklepciuchciuch1,True,True,,,False,False,False,False,False,False,False,False,False
https://www.formommy.pl,513009558,sklep@formommy.pl,False,True,False,False,facebook.com/formommy.official,True,True,instagram.com/formommy.pl,,False,False,False,True,False,True,False,False,False
https://www.pecossokids.pl,,,False,False,False,False,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.wyprawka.com.pl,,,False,False,False,False,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.olympiakids.pl,661%20312%20898,renata@olympiakids.pl,False,False,True,False,"facebook.com/tr?id=1183019908700967&amp;ev=PageView&amp;noscript=1""",True,True,instagram.com/olympiakidsstyle,,False,False,False,True,False,False,False,False,False
https://www.fiorino.eu,+48790677092,info@fiorino.eu,False,True,True,False,facebook.com/tr?id=238224350192767&ev=PageView&noscript=1',True,True,instagram.com/fiorino_ekotuptusie,,False,False,False,True,False,False,False,False,True
https://www.rafjolka.pl,587833933,sklep@rafjolka.pl,False,False,True,False,facebook.com/rafjolka,True,True,instagram.com/rafjolka.pl,,True,False,False,True,False,True,False,False,False
https://www.babyandmam.pl,(+48) 883 003 904,kontakt@babyandmam.pl,False,True,True,False,facebook.com/babyandmampl,True,True,instagram.com/babyandmam.pl,,True,False,False,True,False,False,False,False,True
https://www.elefunt-ep.pl,,,False,True,True,False,facebook.com/tr?id=481149495882584&ev=PageView&noscript=1',True,True,"instagram.com/'+username+'""",,False,False,False,True,False,False,False,False,True
https://www.mieszkobaby.pl,,,False,True,True,False,"facebook.com/profile.php?id=100063116325341""",True,True,instagram.com/mieszko_centrum_niemowlece,,False,False,False,True,False,False,False,False,True
https://www.bajkowewnetrzakids.pl,+48505529843,,False,True,True,True,facebook.com/bajkowewnetrzakids,True,True,instagram.com/bajkowewnetrza,,False,False,False,True,True,False,False,False,False
https://www.bellochi.com,,,False,True,False,False,"facebook.com/tr?id=2144222282553362&ev=PageView&noscript=1""",True,True,instagram.com/bellochi_pl,,False,False,False,True,False,False,False,False,False
https://www.bobaspolski.pl,,,False,False,False,False,facebook.com/bobaspolski,True,False,,,False,False,False,True,False,False,False,False,False
https://www.qbanamama.pl,,,False,True,True,False,"facebook.com/qbanamamaPL"",",True,True,instagram.com/qbana_mama,,False,False,True,True,False,False,False,False,True
https://www.empik.com,+48224627250,,False,True,False,False,"facebook.com/empikcom""><i",True,False,"instagram.com/empikcom""><i",,False,False,False,True,False,False,False,False,False
https://www.ielm.pl,,,False,True,False,False,"facebook.com/ielmpl""",True,True,instagram.com/ielm_design,,False,False,True,True,False,False,False,True,False
https://www.bebiklub.pl,,serwis@nutricia.com.pl,False,True,False,False,facebook.com/bebiko.nutricia,True,False,instagram.com/bebiklub_polska,,False,False,False,False,False,False,False,False,False
https://www.noq.com.pl,,,False,True,True,True,facebook.com/tr?id=685284683091600&ev=PageView,True,True,instagram.com/knittex_noq,,False,False,False,False,False,False,False,False,False
https://www.raspberryrepublic.pl,,,False,True,True,True,"facebook.com/tr?id=1682564772009560&ev=PageView&noscript=1&eid=168256477200956016a25ec5-1b13-408b-819d-214d231e24f4&cd%5Bpage_title%5D=Homepage&cd%5Bpost_type%5D=page&cd%5Bpost_id%5D=631&cd%5Bplugin%5D=PixelYourSite&cd%5Bevent_url%5D=www.raspberryrepublic.com%2F&cd%5Buser_role%5D=guest""",True,True,,,False,False,False,True,True,False,False,False,False
https://www.lulusklep.com,,,False,True,True,False,facebook.com/tr?id=1670760859602447&ev=PageView,True,True,,,False,False,False,True,False,False,False,False,True
https://www.lanila.pl,,,False,False,False,False,"facebook.com/tr?id=357904737892819&ev=PageView&noscript=1""",True,False,instagram.com/lanila.pl,,False,False,False,True,False,False,False,False,False
https://www.tchibo.pl,,service@tchibo.pl,False,True,False,False,facebook.com/TchiboPolska,True,False,instagram.com/tchibo_polska,,False,False,False,True,False,False,False,False,False
https://www.mojswiatdziecka.pl,+48570070609,sklep@mojswiatdziecka.pl,False,True,True,False,"facebook.com/Babymam.Polska""",True,True,"instagram.com/babymampolska""",,False,False,False,True,False,False,False,False,True
https://www.sylwiamajdan.com,+48883734777,sklep@sylwiamajdan.com,False,True,True,False,facebook.com/tr?id=318541292845507&amp;ev=PageView&amp;noscript=1',True,True,instagram.com/sylwiamajdan,,False,False,False,True,False,True,False,False,False
https://www.medwil.pl,0048177707181,sklep@medwil.pl,False,True,True,False,facebook.com/tr?id=1940783106002972&ev=PageView&noscript=1',True,True,instagram.com/medwil.pl,,False,False,False,True,False,False,False,False,True
https://www.technica.pl,333 00 11 00,biuro@technica.pl,False,False,True,False,"facebook.com/skleptechnicapl""",True,False,"instagram.com/sklep.technica.pl""",,False,False,False,True,False,False,False,False,False
https://www.atest.net.pl,+48608045150,atest@atest.net.pl,False,True,False,True,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.berotex.net,+48426702909,bok@berotex.net,False,False,True,False,facebook.com/berotex.net,True,True,instagram.com/berotex_net,,False,False,False,True,False,False,False,False,False
https://www.polprotex.pl,,,False,False,True,False,"facebook.com/Polprotex-158727110852926""",True,False,instagram.com/polprotex,,False,False,False,True,False,False,False,False,False
https://www.artbud.pl,523230550,,False,True,True,False,facebook.com/PW-Art-Bud-113756949994174,True,True,,,False,False,True,True,False,False,False,False,True
https://www.tormedica.pl,,,False,True,True,False,,True,True,,,False,False,False,True,False,False,False,False,True
https://www.bruta.pl,,,False,False,True,False,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.new-apparel.pl,790850701,medyczny24@wp.pl,False,False,True,False,facebook.com/New-Apparel-200328013932446,True,False,,,False,False,False,True,False,False,False,False,False
https://www.mercatormedical.eu,+48 12 66 55 400,,False,True,False,False,"facebook.com/mercatormedical""",True,False,,,False,False,False,False,False,False,False,False,False
https://www.multidental.com.pl,,,False,True,False,True,facebook.com/multidentalmed,True,True,,,False,False,False,False,False,False,False,False,False
https://www.bialmed24.pl,,,False,True,True,False,"facebook.com/tr?id=613885653503697&ev=PageView&noscript=1""",True,False,,,False,False,False,True,False,False,False,False,False
https://www.pov-gol.pl,,,False,False,True,True,,True,False,,,False,False,False,True,True,False,False,False,False
https://www.superpasty.pl,,,False,True,True,False,facebook.com/tr?id=1074983966261862&ev=PageView&noscript=1',True,True,,,False,False,False,True,False,False,False,False,True
https://www.martexbhp.pl,+48668413725,biuro@martexbhp.pl,False,True,True,False,"facebook.com/tr?id=649153775544117&ev=PageView&noscript=1""",True,True,,,False,False,False,True,False,False,False,False,True
https://www.matopat24.pl,564519111,sklep@matopat24.pl,False,True,False,False,,True,False,,,False,False,True,True,False,False,False,False,False
https://www.c-i-a.com,,,False,False,False,True,,True,False,,,False,False,False,False,False,False,False,False,False
https://www.kupdogabinetu.pl,696850900,,False,True,True,False,facebook.com/tr?id=1487795194905163&ev=PageView&noscript=1',True,True,,,False,False,True,True,False,False,False,False,True
https://www.bobaskowo.sklep.pl,531748993,sklepbobaskowo@gmail.com,False,True,False,False,facebook.com/policy.php,True,False,instagram.com/bobaskowo.sklep.pl,,True,False,False,True,False,False,False,False,False
https://www.smyk.com,,,False,True,False,False,facebook.com/smykcom,True,False,"instagram.com/smyk\""",,False,False,False,True,False,False,False,False,False
https://www.krokodyl.eu,,,False,False,False,False,facebook.com/radiokrokodyl,True,False,instagram.com/radiokrokodyl,,False,False,False,False,False,False,False,False,False
https://www.babyland.pl,327832788,kontakt@babyland.pl,False,True,False,False,facebook.com/BABYLANDpolska,True,True,instagram.com/155833707900388<br>,,False,False,False,True,False,False,False,False,False
https://www.fazymazy.com,+48790329959,sklep@fazymazy.com,False,True,True,False,facebook.com/tr?id=1423346131740838&ev=PageView&noscript=1',True,True,"instagram.com/fazy_mazy""",,False,True,False,True,False,False,False,False,True
https://www.szykownamama.pl,587833933,sklep@szykownamama.pl,False,False,True,False,facebook.com/szykownamama,True,True,,,True,False,False,True,False,True,False,False,False
https://www.wum.shop.pl,+48507197443,kontakt@wum.shop.pl,False,True,True,False,"facebook.com/wumszop""",True,True,instagram.com/ironteflon_,,False,False,False,True,False,False,False,False,True
https://www.stanleymed.pl,+48532746580,poczta@stanleymed.pl,False,True,True,False,"facebook.com/centrummedycznestanley""",True,False,instagram.com/stanleycentrummedyczne,,False,False,False,True,False,False,False,False,False
https://www.colormed.pl,+48665001085,zamowienia@colormed.pl,False,True,True,False,facebook.com/tr?id=630505397347484&amp;ev=PageView&amp;noscript=1',True,True,,,False,False,True,True,False,True,False,False,False
